,_id,Date,CA,CAQF,CAName,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
360813,360814,20210517,S12000041,,Angus,Female,,55 - 59,,4600.0,,Dose 1,,0,,0.0,,4438,,96.4782608695652,
360814,360815,20210517,S12000041,,Angus,Female,,60 - 64,,4087.0,,Dose 1,,0,,0.0,,4169,,102.00636163445101,
360815,360816,20210517,S12000041,,Angus,Female,,65 - 69,,3919.0,,Dose 1,,0,,0.0,,3696,,94.3097729012503,
360816,360817,20210517,S12000041,,Angus,Female,,70 - 74,,4018.0,,Dose 1,,0,,0.0,,4087,,101.717272274764,
360817,360818,20210517,S12000041,,Angus,Female,,75 - 79,,2835.0,,Dose 1,,0,,0.0,,2902,,102.363315696649,
360818,360819,20210517,S12000041,,Angus,Female,,80 years and over,,4391.0,,Dose 1,,0,,0.0,,4213,,95.9462537007515,
360819,360820,20210517,S12000041,,Angus,Male,,18 - 29,,7577.0,,Dose 1,,1,,0.013197835554969,,985,,12.999868021644499,
360820,360821,20210517,S12000041,,Angus,Male,,18 years and over,,45663.0,,Dose 1,,38,,0.0832183605982962,,32004,,70.0873792786282,
360821,360822,20210517,S12000041,,Angus,Male,,30 - 39,,6128.0,,Dose 1,,9,,0.14686684073107,,1220,,19.9086161879896,
360822,360823,20210517,S12000041,,Angus,Male,,40 - 49,,6775.0,,Dose 1,,24,,0.35424354243542405,,5029,,74.22878228782291,
360823,360824,20210517,S12000041,,Angus,Male,,50 - 54,,4272.0,,Dose 1,,3,,0.0702247191011236,,3849,,90.0983146067416,
360824,360825,20210517,S12000041,,Angus,Male,,55 - 59,,4439.0,,Dose 1,,0,,0.0,,4232,,95.3367875647668,
360825,360826,20210517,S12000041,,Angus,Male,,60 - 64,,3845.0,,Dose 1,,0,,0.0,,3966,,103.14694408322501,
360826,360827,20210517,S12000041,,Angus,Male,,65 - 69,,3719.0,,Dose 1,,1,,0.0268889486421081,,3555,,95.59021242269431,
360827,360828,20210517,S12000041,,Angus,Male,,70 - 74,,3583.0,,Dose 1,,0,,0.0,,3740,,104.381802958415,
360828,360829,20210517,S12000041,,Angus,Male,,75 - 79,,2460.0,,Dose 1,,0,,0.0,,2494,,101.382113821138,
360829,360830,20210517,S12000041,,Angus,Male,,80 years and over,,2865.0,,Dose 1,,0,,0.0,,2934,,102.408376963351,
360830,360831,20210517,S12000041,,Angus,Total,d,18 - 29,,14256.0,,Dose 1,,5,,0.0350729517396184,,3044,,21.352413019079698,
360831,360832,20210517,S12000041,,Angus,Total,d,18 years and over,,94612.0,,Dose 1,,68,,0.0718724897476007,,70166,,74.16183993573749,
360832,360833,20210517,S12000041,,Angus,Total,d,30 - 39,,12824.0,,Dose 1,,17,,0.13256394260761098,,3792,,29.5695570804741,
360833,360834,20210517,S12000041,,Angus,Total,d,40 - 49,,14002.0,,Dose 1,,42,,0.299957148978717,,10955,,78.2388230252821,
360834,360835,20210517,S12000041,,Angus,Total,d,50 - 54,,8769.0,,Dose 1,,3,,0.0342114266164899,,7949,,90.64887672482608,
360835,360836,20210517,S12000041,,Angus,Total,d,50 years and over,,53530.0,,Dose 1,,4,,0.0074724453577433205,,52375,,97.8423314029516,
360836,360837,20210517,S12000041,,Angus,Total,d,55 - 59,,9039.0,,Dose 1,,0,,0.0,,8670,,95.91769000995691,
360837,360838,20210517,S12000041,,Angus,Total,d,60 - 64,,7932.0,,Dose 1,,0,,0.0,,8135,,102.559253656077,
360838,360839,20210517,S12000041,,Angus,Total,d,65 - 69,,7638.0,,Dose 1,,1,,0.0130924325739722,,7251,,94.9332285938727,
360839,360840,20210517,S12000041,,Angus,Total,d,70 - 74,,7601.0,,Dose 1,,0,,0.0,,7827,,102.973292987765,
360840,360841,20210517,S12000041,,Angus,Total,d,75 - 79,,5295.0,,Dose 1,,0,,0.0,,5396,,101.9074598678,
360841,360842,20210517,S12000041,,Angus,Total,d,80 years and over,,7256.0,,Dose 1,,0,,0.0,,7147,,98.49779492833521,
360842,360843,20210517,S12000041,,Angus,Female,,18 - 29,,6679.0,,Dose 2,,22,,0.329390627339422,,1393,,20.8564156310825,
360843,360844,20210517,S12000041,,Angus,Female,,18 years and over,,48949.0,,Dose 2,,149,,0.304398455535353,,25811,,52.730392857872495,
360844,360845,20210517,S12000041,,Angus,Female,,30 - 39,,6696.0,,Dose 2,,26,,0.388291517323775,,1786,,26.6726403823178,
360845,360846,20210517,S12000041,,Angus,Female,,40 - 49,,7227.0,,Dose 2,,21,,0.29057700290577004,,2494,,34.5094783450948,
360846,360847,20210517,S12000041,,Angus,Female,,50 - 54,,4497.0,,Dose 2,,21,,0.466977985323549,,1785,,39.6931287525017,
360847,360848,20210517,S12000041,,Angus,Female,,55 - 59,,4600.0,,Dose 2,,27,,0.58695652173913,,2005,,43.586956521739104,
360848,360849,20210517,S12000041,,Angus,Female,,60 - 64,,4087.0,,Dose 2,,21,,0.513824321017861,,1933,,47.2963053584536,
360849,360850,20210517,S12000041,,Angus,Female,,65 - 69,,3919.0,,Dose 2,,3,,0.076550140341924,,3526,,89.97193161520799,
360850,360851,20210517,S12000041,,Angus,Female,,70 - 74,,4018.0,,Dose 2,,5,,0.12444001991040303,,3985,,99.17869586859129,
360851,360852,20210517,S12000041,,Angus,Female,,75 - 79,,2835.0,,Dose 2,,2,,0.0705467372134039,,2845,,100.35273368606701,
360852,360853,20210517,S12000041,,Angus,Female,,80 years and over,,4391.0,,Dose 2,,1,,0.0227738556137554,,4059,,92.4390799362332,
360853,360854,20210517,S12000041,,Angus,Male,,18 - 29,,7577.0,,Dose 2,,26,,0.34314372442919394,,450,,5.93902599973604,
360854,360855,20210517,S12000041,,Angus,Male,,18 years and over,,45663.0,,Dose 2,,159,,0.348203140398134,,18298,,40.0718305849375,
360855,360856,20210517,S12000041,,Angus,Male,,30 - 39,,6128.0,,Dose 2,,23,,0.37532637075718,,672,,10.9660574412533,
360856,360857,20210517,S12000041,,Angus,Male,,40 - 49,,6775.0,,Dose 2,,19,,0.280442804428044,,1051,,15.5129151291513,
360857,360858,20210517,S12000041,,Angus,Male,,50 - 54,,4272.0,,Dose 2,,21,,0.491573033707865,,936,,21.9101123595506,
360858,360859,20210517,S12000041,,Angus,Male,,55 - 59,,4439.0,,Dose 2,,37,,0.8335210633025458,,1354,,30.5023653976121,
360859,360860,20210517,S12000041,,Angus,Male,,60 - 64,,3845.0,,Dose 2,,23,,0.598179453836151,,1534,,39.895968790637205,
360860,360861,20210517,S12000041,,Angus,Male,,65 - 69,,3719.0,,Dose 2,,4,,0.10755579456843199,,3382,,90.9384243076096,
360861,360862,20210517,S12000041,,Angus,Male,,70 - 74,,3583.0,,Dose 2,,5,,0.139547864917667,,3661,,102.176946692716,
360862,360863,20210517,S12000041,,Angus,Male,,75 - 79,,2460.0,,Dose 2,,1,,0.040650406504065005,,2440,,99.18699186991871,
360863,360864,20210517,S12000041,,Angus,Male,,80 years and over,,2865.0,,Dose 2,,0,,0.0,,2818,,98.3595113438045,
360864,360865,20210517,S12000041,,Angus,Total,d,18 - 29,,14256.0,,Dose 2,,48,,0.336700336700337,,1843,,12.927890011223301,
360865,360866,20210517,S12000041,,Angus,Total,d,18 years and over,,94612.0,,Dose 2,,308,,0.32554010062148603,,44109,,46.62093603348411,
360866,360867,20210517,S12000041,,Angus,Total,d,30 - 39,,12824.0,,Dose 2,,49,,0.3820960698689961,,2458,,19.1671865252651,
360867,360868,20210517,S12000041,,Angus,Total,d,40 - 49,,14002.0,,Dose 2,,40,,0.285673475217826,,3545,,25.3178117411798,
360868,360869,20210517,S12000041,,Angus,Total,d,50 - 54,,8769.0,,Dose 2,,42,,0.47895997263085904,,2721,,31.0297639411563,
360869,360870,20210517,S12000041,,Angus,Total,d,50 years and over,,53530.0,,Dose 2,,171,,0.319447039043527,,36263,,67.7433215019615,
360870,360871,20210517,S12000041,,Angus,Total,d,55 - 59,,9039.0,,Dose 2,,64,,0.7080429251023341,,3359,,37.1611903971678,
360871,360872,20210517,S12000041,,Angus,Total,d,60 - 64,,7932.0,,Dose 2,,44,,0.5547150781643969,,3467,,43.709026727181,
360872,360873,20210517,S12000041,,Angus,Total,d,65 - 69,,7638.0,,Dose 2,,7,,0.0916470280178057,,6908,,90.44252422100028,
360873,360874,20210517,S12000041,,Angus,Total,d,70 - 74,,7601.0,,Dose 2,,10,,0.13156163662676,,7646,,100.59202736482,
360874,360875,20210517,S12000041,,Angus,Total,d,75 - 79,,5295.0,,Dose 2,,3,,0.05665722379603401,,5285,,99.8111425873466,
360875,360876,20210517,S12000041,,Angus,Total,d,80 years and over,,7256.0,,Dose 2,,1,,0.0137816979051819,,6877,,94.776736493936,
360876,360877,20210517,S12000042,,Dundee City,Female,,18 - 29,,16543.0,,Dose 1,,9,,0.0544036752705072,,4155,,25.116363416550797,
360877,360878,20210517,S12000042,,Dundee City,Female,,18 years and over,,64188.0,,Dose 1,,94,,0.14644481834610798,,42340,,65.9624851997258,
360878,360879,20210517,S12000042,,Dundee City,Female,,30 - 39,,10602.0,,Dose 1,,18,,0.16977928692699498,,3914,,36.917562724014296,
360879,360880,20210517,S12000042,,Dundee City,Female,,40 - 49,,8078.0,,Dose 1,,62,,0.76751671205744,,6459,,79.9579103738549,
360880,360881,20210517,S12000042,,Dundee City,Female,,50 - 54,,4812.0,,Dose 1,,1,,0.0207813798836243,,4289,,89.1313383208645,
360881,360882,20210517,S12000042,,Dundee City,Female,,55 - 59,,5131.0,,Dose 1,,2,,0.0389787565776652,,4836,,94.25063340479441,
360882,360883,20210517,S12000042,,Dundee City,Female,,60 - 64,,4366.0,,Dose 1,,0,,0.0,,4480,,102.611085661933,
360883,360884,20210517,S12000042,,Dundee City,Female,,65 - 69,,3641.0,,Dose 1,,2,,0.0549299642955232,,3555,,97.63801153529249,
360884,360885,20210517,S12000042,,Dundee City,Female,,70 - 74,,3678.0,,Dose 1,,0,,0.0,,3605,,98.01522566612292,
360885,360886,20210517,S12000042,,Dundee City,Female,,75 - 79,,2631.0,,Dose 1,,0,,0.0,,2569,,97.6434815659445,
360886,360887,20210517,S12000042,,Dundee City,Female,,80 years and over,,4706.0,,Dose 1,,0,,0.0,,4478,,95.155121121972,
360887,360888,20210517,S12000042,,Dundee City,Male,,18 - 29,,15592.0,,Dose 1,,5,,0.0320677270395074,,2336,,14.9820420728579,
360888,360889,20210517,S12000042,,Dundee City,Male,,18 years and over,,58369.0,,Dose 1,,145,,0.248419537768336,,34959,,59.89309393685001,
360889,360890,20210517,S12000042,,Dundee City,Male,,30 - 39,,10608.0,,Dose 1,,46,,0.433634992458522,,2350,,22.1530920060332,
360890,360891,20210517,S12000042,,Dundee City,Male,,40 - 49,,7516.0,,Dose 1,,85,,1.1309207025013301,,5904,,78.55242150079829,
360891,360892,20210517,S12000042,,Dundee City,Male,,50 - 54,,4502.0,,Dose 1,,2,,0.0444247001332741,,4134,,91.8258551754776,
360892,360893,20210517,S12000042,,Dundee City,Male,,55 - 59,,4578.0,,Dose 1,,3,,0.0655307994757536,,4463,,97.48798602009609,
360893,360894,20210517,S12000042,,Dundee City,Male,,60 - 64,,4162.0,,Dose 1,,3,,0.0720807304180682,,4320,,103.79625180201799,
360894,360895,20210517,S12000042,,Dundee City,Male,,65 - 69,,3317.0,,Dose 1,,1,,0.0301477238468496,,3397,,102.41181790774799,
360895,360896,20210517,S12000042,,Dundee City,Male,,70 - 74,,3163.0,,Dose 1,,0,,0.0,,3234,,102.24470439456199,
360896,360897,20210517,S12000042,,Dundee City,Male,,75 - 79,,2116.0,,Dose 1,,0,,0.0,,2110,,99.71644612476369,
360897,360898,20210517,S12000042,,Dundee City,Male,,80 years and over,,2815.0,,Dose 1,,0,,0.0,,2711,,96.3055062166963,
360898,360899,20210517,S12000042,,Dundee City,Total,d,18 - 29,,32135.0,,Dose 1,,14,,0.043566205072351,,6491,,20.1991597946165,
360899,360900,20210517,S12000042,,Dundee City,Total,d,18 years and over,,122557.0,,Dose 1,,239,,0.19501130086408802,,77299,,63.0718767593854,
360900,360901,20210517,S12000042,,Dundee City,Total,d,30 - 39,,21210.0,,Dose 1,,64,,0.301744460160302,,6264,,29.533239038189503,
360901,360902,20210517,S12000042,,Dundee City,Total,d,40 - 49,,15594.0,,Dose 1,,147,,0.9426702577914581,,12363,,79.2804924971143,
360902,360903,20210517,S12000042,,Dundee City,Total,d,50 - 54,,9314.0,,Dose 1,,3,,0.032209576980889,,8423,,90.43375563667601,
360903,360904,20210517,S12000042,,Dundee City,Total,d,50 years and over,,53618.0,,Dose 1,,14,,0.0261106344884181,,52181,,97.31992987429591,
360904,360905,20210517,S12000042,,Dundee City,Total,d,55 - 59,,9709.0,,Dose 1,,5,,0.0514986095375425,,9299,,95.7771140179215,
360905,360906,20210517,S12000042,,Dundee City,Total,d,60 - 64,,8528.0,,Dose 1,,3,,0.0351782363977486,,8800,,103.189493433396,
360906,360907,20210517,S12000042,,Dundee City,Total,d,65 - 69,,6958.0,,Dose 1,,3,,0.0431158378844496,,6952,,99.91376832423109,
360907,360908,20210517,S12000042,,Dundee City,Total,d,70 - 74,,6841.0,,Dose 1,,0,,0.0,,6839,,99.97076450811291,
360908,360909,20210517,S12000042,,Dundee City,Total,d,75 - 79,,4747.0,,Dose 1,,0,,0.0,,4679,,98.56751632610072,
360909,360910,20210517,S12000042,,Dundee City,Total,d,80 years and over,,7521.0,,Dose 1,,0,,0.0,,7189,,95.5856933918362,
360910,360911,20210517,S12000042,,Dundee City,Female,,18 - 29,,16543.0,,Dose 2,,54,,0.32642205162304305,,2742,,16.574986399081197,
360911,360912,20210517,S12000042,,Dundee City,Female,,18 years and over,,64188.0,,Dose 2,,462,,0.719760702935128,,27749,,43.230821960491106,
360912,360913,20210517,S12000042,,Dundee City,Female,,30 - 39,,10602.0,,Dose 2,,64,,0.603659686851537,,2428,,22.901339369930202,
360913,360914,20210517,S12000042,,Dundee City,Female,,40 - 49,,8078.0,,Dose 2,,95,,1.1760336717009199,,2568,,31.7900470413469,
360914,360915,20210517,S12000042,,Dundee City,Female,,50 - 54,,4812.0,,Dose 2,,51,,1.05985037406484,,1921,,39.92103075644221,
360915,360916,20210517,S12000042,,Dundee City,Female,,55 - 59,,5131.0,,Dose 2,,80,,1.55915026310661,,2405,,46.8719547846424,
360916,360917,20210517,S12000042,,Dundee City,Female,,60 - 64,,4366.0,,Dose 2,,78,,1.78653229500687,,2298,,52.6339899221255,
360917,360918,20210517,S12000042,,Dundee City,Female,,65 - 69,,3641.0,,Dose 2,,17,,0.466904696511947,,3196,,87.77808294424611,
360918,360919,20210517,S12000042,,Dundee City,Female,,70 - 74,,3678.0,,Dose 2,,20,,0.5437737901033171,,3433,,93.3387710712344,
360919,360920,20210517,S12000042,,Dundee City,Female,,75 - 79,,2631.0,,Dose 2,,1,,0.0380083618396047,,2490,,94.64082098061571,
360920,360921,20210517,S12000042,,Dundee City,Female,,80 years and over,,4706.0,,Dose 2,,2,,0.0424989375265618,,4268,,90.69273268168301,
360921,360922,20210517,S12000042,,Dundee City,Male,,18 - 29,,15592.0,,Dose 2,,60,,0.384812724474089,,1244,,7.978450487429451,
360922,360923,20210517,S12000042,,Dundee City,Male,,18 years and over,,58369.0,,Dose 2,,461,,0.7898028062841579,,19309,,33.0809162397848,
360923,360924,20210517,S12000042,,Dundee City,Male,,30 - 39,,10608.0,,Dose 2,,55,,0.5184766214177979,,1189,,11.208521870286601,
360924,360925,20210517,S12000042,,Dundee City,Male,,40 - 49,,7516.0,,Dose 2,,81,,1.07770090473656,,1392,,18.520489622139397,
360925,360926,20210517,S12000042,,Dundee City,Male,,50 - 54,,4502.0,,Dose 2,,43,,0.955131052865393,,1239,,27.5211017325633,
360926,360927,20210517,S12000042,,Dundee City,Male,,55 - 59,,4578.0,,Dose 2,,84,,1.8348623853211001,,1623,,35.45216251638271,
360927,360928,20210517,S12000042,,Dundee City,Male,,60 - 64,,4162.0,,Dose 2,,94,,2.25852955309947,,1887,,45.3387794329649,
360928,360929,20210517,S12000042,,Dundee City,Male,,65 - 69,,3317.0,,Dose 2,,27,,0.813988543864938,,3031,,91.37775097980101,
360929,360930,20210517,S12000042,,Dundee City,Male,,70 - 74,,3163.0,,Dose 2,,16,,0.505848877647803,,3067,,96.9649067341132,
360930,360931,20210517,S12000042,,Dundee City,Male,,75 - 79,,2116.0,,Dose 2,,1,,0.0472589792060491,,2038,,96.3137996219282,
360931,360932,20210517,S12000042,,Dundee City,Male,,80 years and over,,2815.0,,Dose 2,,0,,0.0,,2599,,92.32682060390759,
360932,360933,20210517,S12000042,,Dundee City,Total,d,18 - 29,,32135.0,,Dose 2,,114,,0.35475338416057295,,3986,,12.4039209584565,
360933,360934,20210517,S12000042,,Dundee City,Total,d,18 years and over,,122557.0,,Dose 2,,923,,0.7531189568935269,,47058,,38.396827598586796,
360934,360935,20210517,S12000042,,Dundee City,Total,d,30 - 39,,21210.0,,Dose 2,,119,,0.561056105610561,,3617,,17.053276756247097,
360935,360936,20210517,S12000042,,Dundee City,Total,d,40 - 49,,15594.0,,Dose 2,,176,,1.1286392202128999,,3960,,25.3943824547903,
360936,360937,20210517,S12000042,,Dundee City,Total,d,50 - 54,,9314.0,,Dose 2,,94,,1.0092334120678499,,3160,,33.9274210865364,
360937,360938,20210517,S12000042,,Dundee City,Total,d,50 years and over,,53618.0,,Dose 2,,514,,0.958633294789063,,35495,,66.19978365474279,
360938,360939,20210517,S12000042,,Dundee City,Total,d,55 - 59,,9709.0,,Dose 2,,164,,1.68915439283139,,4028,,41.487279843444206,
360939,360940,20210517,S12000042,,Dundee City,Total,d,60 - 64,,8528.0,,Dose 2,,172,,2.01688555347092,,4185,,49.073639774859295,
360940,360941,20210517,S12000042,,Dundee City,Total,d,65 - 69,,6958.0,,Dose 2,,44,,0.6323656223052601,,6227,,89.4941075021558,
360941,360942,20210517,S12000042,,Dundee City,Total,d,70 - 74,,6841.0,,Dose 2,,36,,0.526238853968718,,6500,,95.01534863324079,
360942,360943,20210517,S12000042,,Dundee City,Total,d,75 - 79,,4747.0,,Dose 2,,2,,0.0421318727617443,,4528,,95.386559932589,
360943,360944,20210517,S12000042,,Dundee City,Total,d,80 years and over,,7521.0,,Dose 2,,2,,0.0265922084829145,,6867,,91.304347826087,
360944,360945,20210517,S12000045,,East Dunbartonshire,Female,,18 - 29,,6173.0,,Dose 1,,7,,0.113397051676656,,2051,,33.2253361412603,
360945,360946,20210517,S12000045,,East Dunbartonshire,Female,,18 years and over,,45526.0,,Dose 1,,142,,0.311909677986206,,36371,,79.890611958002,
360946,360947,20210517,S12000045,,East Dunbartonshire,Female,,30 - 39,,5751.0,,Dose 1,,25,,0.43470700747696006,,2532,,44.0271257172666,
360947,360948,20210517,S12000045,,East Dunbartonshire,Female,,40 - 49,,7185.0,,Dose 1,,104,,1.4474599860821202,,5506,,76.6318719554628,
360948,360949,20210517,S12000045,,East Dunbartonshire,Female,,50 - 54,,4306.0,,Dose 1,,3,,0.0696702275894101,,4079,,94.72828611240129,
360949,360950,20210517,S12000045,,East Dunbartonshire,Female,,55 - 59,,4449.0,,Dose 1,,0,,0.0,,4394,,98.7637671386829,
360950,360951,20210517,S12000045,,East Dunbartonshire,Female,,60 - 64,,4009.0,,Dose 1,,1,,0.0249438762783737,,3986,,99.4262908455974,
360951,360952,20210517,S12000045,,East Dunbartonshire,Female,,65 - 69,,3430.0,,Dose 1,,0,,0.0,,3491,,101.778425655977,
360952,360953,20210517,S12000045,,East Dunbartonshire,Female,,70 - 74,,3332.0,,Dose 1,,0,,0.0,,3455,,103.691476590636,
360953,360954,20210517,S12000045,,East Dunbartonshire,Female,,75 - 79,,2614.0,,Dose 1,,1,,0.0382555470543229,,2596,,99.31140015302219,
360954,360955,20210517,S12000045,,East Dunbartonshire,Female,,80 years and over,,4277.0,,Dose 1,,1,,0.0233808744447042,,4281,,100.093523497779,
360955,360956,20210517,S12000045,,East Dunbartonshire,Male,,18 - 29,,7397.0,,Dose 1,,5,,0.0675949709341625,,1411,,19.0753007976207,
360956,360957,20210517,S12000045,,East Dunbartonshire,Male,,18 years and over,,41396.0,,Dose 1,,162,,0.3913421586626729,,29906,,72.24369504299929,
360957,360958,20210517,S12000045,,East Dunbartonshire,Male,,30 - 39,,5352.0,,Dose 1,,37,,0.6913303437967111,,1650,,30.8295964125561,
360958,360959,20210517,S12000045,,East Dunbartonshire,Male,,40 - 49,,6293.0,,Dose 1,,115,,1.8274273001748003,,4520,,71.8258382329573,
360959,360960,20210517,S12000045,,East Dunbartonshire,Male,,50 - 54,,3883.0,,Dose 1,,0,,0.0,,3665,,94.3857841874839,
360960,360961,20210517,S12000045,,East Dunbartonshire,Male,,55 - 59,,4015.0,,Dose 1,,0,,0.0,,3996,,99.5267745952677,
360961,360962,20210517,S12000045,,East Dunbartonshire,Male,,60 - 64,,3633.0,,Dose 1,,1,,0.0275254610514726,,3606,,99.2568125516102,
360962,360963,20210517,S12000045,,East Dunbartonshire,Male,,65 - 69,,3098.0,,Dose 1,,2,,0.0645577792123951,,3170,,102.324080051646,
360963,360964,20210517,S12000045,,East Dunbartonshire,Male,,70 - 74,,2890.0,,Dose 1,,1,,0.0346020761245675,,3025,,104.671280276817,
360964,360965,20210517,S12000045,,East Dunbartonshire,Male,,75 - 79,,2012.0,,Dose 1,,0,,0.0,,2065,,102.634194831014,
